# psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,z
2.579924000000000106e+01,2.241097000000000250e+01,2.090034999999999954e+01,1.993124999999999858e+01,1.944219000000000008e+01,2.688316999999999979e+01,2.169109999999999872e+01,2.010895000000000010e+01,1.910595999999999961e+01,1.870302999999999827e+01,1.869497999999999749e+01,2.240269999999999939e+01,2.012819999999999965e+01,1.898916000000000182e+01,1.950767000000000095e+01,5.292383000000000504e-01
2.083402999999999849e+01,1.899427000000000021e+01,1.794623999999999953e+01,1.751333999999999946e+01,1.708057000000000158e+01,1.949332000000000065e+01,1.756416000000000111e+01,1.649082999999999899e+01,1.600562000000000040e+01,1.562030999999999992e+01,1.951377000000000095e+01,1.751988000000000056e+01,1.646376000000000062e+01,1.602782000000000195e+01,1.567135000000000034e+01,1.043158000000000141e-01
2.420048999999999850e+01,2.281905000000000072e+01,2.147429999999999950e+01,2.039413000000000054e+01,1.996487999999999730e+01,2.456455000000000055e+01,2.219284000000000034e+01,2.055442999999999998e+01,1.949902999999999764e+01,1.916368999999999900e+01,2.372896000000000072e+01,2.344917999999999836e+01,2.057107000000000241e+01,1.959825999999999979e+01,1.978170000000000073e+01,5.200879999999999947e-01
2.215397999999999712e+01,1.985778999999999783e+01,1.878264000000000067e+01,1.833145999999999987e+01,1.798461999999999961e+01,2.097292999999999807e+01,1.846643999999999863e+01,1.731081999999999965e+01,1.682572000000000045e+01,1.643563999999999936e+01,2.103142000000000067e+01,1.861932000000000187e+01,1.747377000000000180e+01,1.701608999999999838e+01,1.663382999999999967e+01,1.533762999999999932e-01
1.790654999999999930e+01,1.758494999999999919e+01,1.734896000000000171e+01,1.715930000000000177e+01,1.714957000000000065e+01,1.791122999999999976e+01,1.757338999999999984e+01,1.736328999999999922e+01,1.715947000000000244e+01,1.715052999999999983e+01,1.798841000000000179e+01,1.763612999999999786e+01,1.741736000000000217e+01,1.722767999999999944e+01,1.722309999999999874e+01,1.547908999999999979e+00
1.945592999999999861e+01,1.810637999999999792e+01,1.758909999999999840e+01,1.733494999999999919e+01,1.724367999999999768e+01,1.943932000000000215e+01,1.808070999999999984e+01,1.756190000000000140e+01,1.732924999999999827e+01,1.723499999999999943e+01,1.945671000000000106e+01,1.811346999999999952e+01,1.760112999999999772e+01,1.738839000000000112e+01,1.731827999999999790e+01,-6.913631999999999200e-05
2.087237999999999971e+01,1.854001000000000232e+01,1.710106000000000037e+01,1.600329999999999941e+01,1.545018999999999920e+01,2.093834999999999980e+01,1.854774000000000100e+01,1.710176000000000229e+01,1.600899000000000072e+01,1.544542000000000037e+01,2.096640999999999977e+01,1.859339999999999904e+01,1.715221000000000018e+01,1.606822999999999979e+01,1.550557999999999836e+01,3.679695000000000351e-05
2.477521000000000129e+01,2.268702000000000041e+01,2.132528999999999897e+01,2.047565000000000168e+01,2.000555999999999912e+01,2.556015999999999977e+01,2.219527000000000072e+01,2.077189999999999870e+01,1.985687000000000069e+01,1.940347999999999828e+01,2.465262999999999849e+01,2.182819999999999894e+01,2.085793999999999926e+01,1.971070999999999884e+01,1.921021999999999963e+01,4.235200000000000076e-01
2.257534000000000063e+01,2.000333999999999790e+01,1.851923999999999992e+01,1.783747999999999934e+01,1.740478999999999843e+01,2.259489999999999910e+01,2.001882999999999768e+01,1.851182000000000016e+01,1.782989999999999853e+01,1.740175999999999945e+01,2.394406999999999996e+01,2.006387000000000143e+01,1.855418999999999841e+01,1.787706999999999979e+01,1.745988999999999791e+01,-1.755222000000000184e-04
1.805653999999999826e+01,1.685285000000000011e+01,1.640739999999999910e+01,1.628239999999999910e+01,1.621621999999999986e+01,1.805098999999999876e+01,1.683852999999999867e+01,1.640547999999999718e+01,1.629047000000000267e+01,1.621751000000000076e+01,1.810057000000000116e+01,1.686877999999999744e+01,1.644520999999999944e+01,1.635152000000000072e+01,1.627977000000000274e+01,3.012922000000000018e-04
